h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639536560dedcfcbae159a85;False;0,6708553791887124;3;17;Média;2;casos
639536590dedcfcbae159a8f;False;0,6;null;18;9;2;casos
639536590dedcfcbae159a90;False;1;null;18;10;2;casos
639536590dedcfcbae159a91;False;0,75;null;18;11;2;casos
6395365a0dedcfcbae159a92;False;0,5;null;18;12;2;casos
6395365a0dedcfcbae159a93;False;0,6;null;18;13;2;casos
6395365a0dedcfcbae159a94;False;0,75;null;18;14;2;casos
6395365a0dedcfcbae159a95;False;1;null;18;15;2;casos
6395365a0dedcfcbae159a96;False;1;null;18;16;2;casos
6395365b0dedcfcbae159a97;False;0,6;null;18;17;2;casos
6395365b0dedcfcbae159a98;False;0,75;null;18;18;2;casos
6395365b0dedcfcbae159a99;False;0,75;null;18;19;2;casos
6395365b0dedcfcbae159a9a;False;0,2727272727272727;null;18;20;2;casos
6395365b0dedcfcbae159a9b;False;0,6666666666666666;null;18;21;2;casos
6395365c0dedcfcbae159a9c;False;1;null;18;22;2;casos
6395365c0dedcfcbae159a9d;False;0,6;null;18;23;2;casos
6395365c0dedcfcbae159a9e;False;0,5;null;18;24;2;casos
6395365c0dedcfcbae159a9f;False;0,42857142857142855;null;18;25;2;casos
6395365c0dedcfcbae159aa0;False;0,375;null;18;26;2;casos
6395365c0dedcfcbae159aa1;False;0,6746091871091872;3;18;Média;2;casos
639536610dedcfcbae159aab;False;0,42857142857142855;null;19;9;2;casos
639536610dedcfcbae159aac;False;0,75;null;19;10;2;casos
639536610dedcfcbae159aad;False;0,4444444444444444;null;19;11;2;casos
639536610dedcfcbae159aae;False;1;null;19;12;2;casos
639536610dedcfcbae159aaf;False;1;null;19;13;2;casos
639536620dedcfcbae159ab0;False;1;null;19;14;2;casos
639536620dedcfcbae159ab1;False;1;null;19;15;2;casos
639536620dedcfcbae159ab2;False;1;null;19;16;2;casos
639536620dedcfcbae159ab3;False;1;null;19;17;2;casos
